,cod_reg_rbd,nom_reg_rbd_a,cod_com_rbd,nom_com_rbd,cod_depe2,rural_rbd,cod_ense2,cod_jor,mrun,gen_alu_x,edad_alu,cod_reg_alu,prom_gral,asistencia,codigo_unico,gen_alu_y,anio_ing_carr_ori,tipo_inst_3,_merge
48623,5,VALPO,5801,QUILPUÉ,2,0,5,1,16875520,2,17,13,7,100,I22S1C1J1V2,2,2021,Universidades Privadas,both
33625,13,RM,13118,MACUL,2,0,5,3,15183368,1,17,13,"6,8",100,I88S6C13J1V2,1,2021,Universidades Privadas CRUCH,both
33040,13,RM,13118,MACUL,5,0,5,3,22029983,2,17,13,7,100,I71S1C142J1V1,2,2021,Universidades Estatales CRUCH,both
61104,13,RM,13125,QUILICURA,2,0,5,3,9759229,1,17,13,"6,6",93,I71S1C6J1V1,1,2021,Universidades Estatales CRUCH,both
8317,5,VALPO,5109,VIÑA DEL MAR,2,0,5,3,16365617,1,18,5,"6,6",100,I88S2C65J1V3,1,2021,Universidades Privadas CRUCH,both
59988,13,RM,13201,PUENTE ALTO,2,0,5,1,24413336,1,17,13,"6,8",50,I71S1C572J1V1,1,2021,Universidades Estatales CRUCH,both
19603,8,BBIO,8201,LEBU,1,0,7,3,23389471,2,19,8,"6,2",100,I456S3C42J2V1,2,2021,Centros de Formación Técnica,both
55873,10,LAGOS,10303,PURRANQUE,2,0,5,3,22275672,1,18,10,5,100,I100S21C304J1V1,1,2021,Institutos Profesionales,both
30453,13,RM,13114,LAS CONDES,3,0,5,1,21151353,1,17,13,"6,8",99,I70S1C58J1V1,1,2021,Universidades Estatales CRUCH,both
40857,13,RM,13404,PAINE,2,0,5,3,21122339,2,17,13,"6,7",96,I143S15C251J1V1,2,2021,Institutos Profesionales,both
20622,9,ARAUC,9211,VICTORIA,1,0,5,1,14273381,2,17,9,"6,6",100,I76S1C29J1V1,2,2021,Universidades Estatales CRUCH,both
55637,10,LAGOS,10101,PUERTO MONTT,2,0,5,3,20770768,2,17,10,7,85,I90S2C130J1V1,2,2021,Universidades Privadas CRUCH,both
21687,9,ARAUC,9101,TEMUCO,2,0,5,1,22388923,1,17,9,"6,1",100,I31S1C25J1V1,1,2021,Universidades Privadas,both
18602,8,BBIO,8110,TALCAHUANO,1,0,5,1,18743575,2,17,8,"5,7",100,I75S1C27J1V2,2,2021,Universidades Estatales CRUCH,both
60312,13,RM,13111,LA GRANJA,2,0,7,3,19745336,2,17,13,"6,9",100,I143S15C251J1V1,2,2021,Institutos Profesionales,both
62949,13,RM,13119,MAIPÚ,2,0,5,1,17859309,2,18,13,"5,8",100,I19S3C21J1V1,2,2021,Universidades Privadas,both
2076,2,ANTOF,2101,ANTOFAGASTA,1,0,5,3,15658754,1,17,2,"6,8",85,I91S1C100J1V2,1,2021,Universidades Privadas CRUCH,both
9972,5,VALPO,5601,SAN ANTONIO,2,0,5,1,24509422,1,17,5,"6,6",90,I129S2C4J1V1,1,2021,Institutos Profesionales,both
65250,13,RM,13301,COLINA,3,0,5,3,17810111,2,18,13,7,64,I70S1C181J1V1,2,2021,Universidades Estatales CRUCH,both
23617,14,RIOS,14108,PANGUIPULLI,1,0,5,3,18549017,1,17,14,6,100,I88S1C56J1V1,1,2021,Universidades Privadas CRUCH,both
38272,13,RM,13117,LO PRADO,5,0,5,3,12217534,2,17,13,"5,5",85,I430S15C170J1V2,2,2021,Centros de Formación Técnica,both
68034,1,TPCA,1107,ALTO HOSPICIO,2,0,7,3,19802661,2,18,4,"4,8",85,I260S2C320J1V1,2,2021,Centros de Formación Técnica,both
13064,7,MAULE,7101,TALCA,1,0,5,1,19451317,2,17,7,"6,9",100,I92S1C6J1V1,2,2021,Universidades Privadas CRUCH,both
34765,13,RM,13110,LA FLORIDA,2,0,5,3,9976373,2,17,13,"6,4",97,I20S1C14J1V1,2,2021,Universidades Privadas,both
40985,13,RM,13601,TALAGANTE,2,0,7,3,13111220,2,17,13,"6,1",95,I69S1C1J1V1,2,2021,Universidades Privadas CRUCH,both
47665,4,COQ,4102,COQUIMBO,5,0,7,3,14334504,1,19,4,"4,7",85,I257S1C24J1V1,1,2021,Centros de Formación Técnica,both
58353,13,RM,13202,PIRQUE,3,0,5,3,20271347,2,18,13,"5,8",97,I26S1C16J1V1,2,2021,Universidades Privadas,both
14254,7,MAULE,7403,LONGAVÍ,1,0,7,3,12377384,2,17,7,"5,6",98,I367S3C16J1V1,2,2021,Centros de Formación Técnica,both
49453,5,VALPO,5601,SAN ANTONIO,2,0,5,3,14145781,2,17,5,"6,6",97,I89S1C200J1V1,2,2021,Universidades Privadas CRUCH,both
19227,8,BBIO,8109,SANTA JUANA,1,0,5,3,12446159,1,18,8,"5,6",85,I111S3C48J1V1,1,2021,Institutos Profesionales,both
14465,7,MAULE,7406,SAN JAVIER,1,0,5,3,23578061,2,17,7,"6,7",100,I78S1C12J1V1,2,2021,Universidades Estatales CRUCH,both
29419,13,RM,13114,LAS CONDES,1,0,5,3,14114281,2,17,1,7,91,I45S2C101J1V1,2,2021,Universidades Privadas,both
62485,13,RM,13105,EL BOSQUE,2,0,5,3,14467588,2,17,13,"5,8",100,I20S2C27J1V2,2,2021,Universidades Privadas,both
34762,13,RM,13110,LA FLORIDA,2,0,5,3,21766568,2,17,13,"6,8",100,I70S1C58J1V1,2,2021,Universidades Estatales CRUCH,both
55381,14,RIOS,14101,VALDIVIA,2,0,5,3,26242077,1,17,14,"6,4",100,I39S7C2J1V1,1,2021,Universidades Privadas,both
44603,13,RM,13114,LAS CONDES,3,0,5,3,20601788,2,17,13,7,100,I86S5C131J1V2,2,2021,Universidades Privadas CRUCH,both
50682,6,LGBO,6301,SAN FERNANDO,2,0,5,3,19302519,1,17,6,7,100,I50S1C351J1V1,1,2021,Universidades Privadas,both
46594,3,ATCMA,3101,COPIAPÓ,2,0,5,3,24856146,2,17,3,"6,2",100,I79S1C57J1V1,2,2021,Universidades Estatales CRUCH,both
8614,5,VALPO,5801,QUILPUÉ,2,0,5,3,17576052,2,17,5,"6,1",100,I20S3C7J1V2,2,2021,Universidades Privadas,both
39019,13,RM,13127,RECOLETA,4,0,7,3,24729778,1,19,13,"4,4",96,I100S20C176J2V1,1,2021,Institutos Profesionales,both
39790,13,RM,13201,PUENTE ALTO,2,0,7,3,18551592,1,17,13,"6,3",85,I430S37C42J1V3,1,2021,Centros de Formación Técnica,both
29691,13,RM,13114,LAS CONDES,1,0,5,3,9749900,1,17,13,"6,6",100,I86S5C200J1V1,1,2021,Universidades Privadas CRUCH,both
10197,6,LGBO,6101,RANCAGUA,4,0,7,3,15053246,2,17,6,"6,3",85,I895S1C2J1V1,2,2021,Universidades Estatales CRUCH,both
64136,13,RM,13119,MAIPÚ,2,0,5,3,21796117,1,18,13,"4,8",90,I9S1C64J2V1,1,2021,Universidades Privadas,both
58491,13,RM,13402,BUIN,3,0,5,3,22665298,1,17,13,"6,7",98,I34S1C40J1V1,1,2021,Universidades Privadas CRUCH,both
30827,13,RM,13132,VITACURA,3,0,5,3,19982190,1,17,13,"6,7",100,I86S5C131J1V2,1,2021,Universidades Privadas CRUCH,both
38851,13,RM,13104,CONCHALÍ,2,0,5,3,16523782,2,17,13,"6,8",100,I19S4C20J1V2,2,2021,Universidades Privadas,both
9723,5,VALPO,5601,SAN ANTONIO,1,0,7,3,13873681,1,17,5,"5,2",85,I144S10C46J1V1,1,2021,Institutos Profesionales,both
20630,9,ARAUC,9211,VICTORIA,1,0,5,1,19379457,2,17,9,"6,2",100,I94S1C3J1V1,2,2021,Universidades Privadas CRUCH,both
6532,5,VALPO,5501,QUILLOTA,2,0,5,3,18898786,2,18,13,"6,8",100,I20S3C37J1V1,2,2021,Universidades Privadas,both
6873,5,VALPO,5502,CALERA,2,0,5,3,20745285,2,17,5,"6,9",100,I72S1C4J1V1,2,2021,Universidades Estatales CRUCH,both
59419,13,RM,13114,LAS CONDES,3,0,5,3,20710013,1,17,13,"6,6",100,I45S4C17J1V2,1,2021,Universidades Privadas,both
34356,13,RM,13110,LA FLORIDA,1,0,5,3,24066695,1,17,13,"5,7",85,I71S1C29J1V1,1,2021,Universidades Estatales CRUCH,both
38116,13,RM,13103,CERRO NAVIA,2,0,7,2,10959769,1,18,8,"5,2",85,I430S30C326J1V1,1,2021,Centros de Formación Técnica,both
60693,13,RM,13301,COLINA,3,0,5,3,16023244,2,19,13,"6,3",98,I20S2C288J1V1,2,2021,Universidades Privadas,both
38633,13,RM,13125,QUILICURA,2,0,7,3,13108857,2,18,13,"6,8",100,I100S39C272J1V1,2,2021,Institutos Profesionales,both
18879,8,BBIO,8110,TALCAHUANO,2,0,5,3,23552559,1,17,8,"6,7",100,I430S30C67J1V1,1,2021,Centros de Formación Técnica,both
40551,13,RM,13402,BUIN,1,0,5,3,16782688,2,17,13,"6,3",95,I260S21C282J1V1,2,2021,Centros de Formación Técnica,both
55925,10,LAGOS,10301,OSORNO,2,0,5,3,9777859,1,17,10,"6,2",85,I90S1C143J1V2,1,2021,Universidades Privadas CRUCH,both
37594,13,RM,13102,CERRILLOS,2,0,5,3,15260864,1,17,13,"6,2",100,I20S1C64J1V1,1,2021,Universidades Privadas,both
58897,13,RM,13112,LA PINTANA,2,0,5,3,22063849,2,17,13,"6,8",51,I111S9C39J2V1,2,2021,Institutos Profesionales,both
18530,8,BBIO,8112,HUALPÉN,4,0,7,3,18717112,1,17,8,"5,4",85,I100S33C304J1V1,1,2021,Institutos Profesionales,both
10699,6,LGBO,6101,RANCAGUA,1,0,5,1,20818914,2,17,6,"6,9",98,I78S1C3J1V1,2,2021,Universidades Estatales CRUCH,both
53017,8,BBIO,8102,CORONEL,2,0,5,3,22136524,1,17,8,"6,8",100,I87S1C244J1V1,1,2021,Universidades Privadas CRUCH,both
26790,13,RM,13101,SANTIAGO,1,0,5,3,15117316,2,17,13,"6,4",85,I86S3C61J1V1,2,2021,Universidades Privadas CRUCH,both
20208,9,ARAUC,9201,ANGOL,1,0,7,3,19277210,2,17,9,"5,9",85,I100S37C300J1V1,2,2021,Institutos Profesionales,both
33351,13,RM,13120,ÑUÑOA,1,0,5,1,12833345,2,18,13,"6,5",85,I143S26C59J1V1,2,2021,Institutos Profesionales,both
20346,9,ARAUC,9201,ANGOL,2,0,5,3,11686689,1,17,9,"6,4",100,I633S2C59J2V1,1,2021,Centros de Formación Técnica,both
5038,4,COQ,4301,OVALLE,2,0,5,3,14906032,1,17,4,"4,2",100,I143S17C28J1V1,1,2021,Institutos Profesionales,both
9764,5,VALPO,5601,SAN ANTONIO,1,0,7,3,20188316,1,17,5,"6,5",85,I111S4C145J1V1,1,2021,Institutos Profesionales,both
59646,13,RM,13119,MAIPÚ,2,0,5,3,13707419,1,17,13,"6,7",100,I71S1C18J1V2,1,2021,Universidades Estatales CRUCH,both
55108,13,RM,13122,PEÑALOLÉN,3,0,5,3,21121592,2,18,13,"6,7",100,I10S7C711J1V1,2,2021,Universidades Privadas,both
27085,13,RM,13101,SANTIAGO,1,0,5,3,14535227,1,17,13,"6,8",99,I70S1C3J1V1,1,2021,Universidades Estatales CRUCH,both
34945,13,RM,13110,LA FLORIDA,3,0,5,3,16751737,1,18,13,"6,5",100,I69S1C57J1V1,1,2021,Universidades Privadas CRUCH,both
62761,13,RM,13105,EL BOSQUE,2,0,5,3,22709262,1,17,13,"6,3",100,I4S1C802J1V1,1,2021,Universidades Privadas,both
64219,13,RM,13110,LA FLORIDA,2,0,7,3,14280994,1,17,15,"5,5",100,I39S6C26J1V1,1,2021,Universidades Privadas,both
41375,13,RM,13604,PADRE HURTADO,2,0,7,3,21888072,2,17,13,"6,7",85,I76S1C87J1V1,2,2021,Universidades Estatales CRUCH,both
7759,5,VALPO,5101,VALPARAÍSO,2,0,5,1,16678342,2,17,5,"6,9",100,I83S1C278J1V1,2,2021,Universidades Estatales CRUCH,both
24842,10,LAGOS,10101,PUERTO MONTT,2,0,5,3,19583638,1,17,10,"6,1",100,I39S8C18J1V1,1,2021,Universidades Privadas,both
2698,2,ANTOF,2101,ANTOFAGASTA,2,0,5,3,21581992,1,17,2,"6,3",85,I90S1C34J1V2,1,2021,Universidades Privadas CRUCH,both
47936,4,COQ,4102,COQUIMBO,5,0,7,3,18488718,2,17,4,"5,2",100,I260S22C47J1V1,2,2021,Centros de Formación Técnica,both
63686,13,RM,13122,PEÑALOLÉN,2,0,5,3,15539084,2,17,13,"5,4",85,I26S1C6J1V1,2,2021,Universidades Privadas,both
37275,13,RM,13119,MAIPÚ,2,0,5,3,20831751,2,17,13,"5,6",85,I143S29C29J1V1,2,2021,Institutos Profesionales,both
45725,1,TPCA,1107,ALTO HOSPICIO,2,0,7,3,22479148,2,19,1,"5,6",85,I260S2C79J1V1,2,2021,Centros de Formación Técnica,both
44560,13,RM,13101,SANTIAGO,2,0,5,3,25474946,1,19,13,"6,5",93,I50S1C23J1V1,1,2021,Universidades Privadas,both
49297,5,VALPO,5802,LIMACHE,2,0,5,3,14421132,2,17,5,"5,5",100,I143S6C53J1V1,2,2021,Institutos Profesionales,both
52995,8,BBIO,8102,CORONEL,3,0,5,3,18348591,2,17,8,0,0,I87S1C3J1V1,2,2021,Universidades Privadas CRUCH,both
21295,9,ARAUC,9101,TEMUCO,2,0,5,3,10464662,1,17,9,"6,5",95,I31S1C233J1V1,1,2021,Universidades Privadas,both
32196,13,RM,13115,LO BARNECHEA,3,0,5,3,14580234,2,18,13,"6,8",100,I86S1C29J1V1,2,2021,Universidades Privadas CRUCH,both
57506,13,RM,13128,RENCA,2,0,7,3,20354684,1,17,13,"6,7",85,I2S1C15J1V1,1,2021,Universidades Privadas,both
22767,9,ARAUC,9117,TEODORO SCHMIDT,5,0,5,3,12503287,2,18,9,"5,5",100,I260S11C320J1V1,2,2021,Centros de Formación Técnica,both
58937,13,RM,13112,LA PINTANA,2,0,7,3,21496966,2,17,13,"6,9",84,I260S47C47J1V1,2,2021,Centros de Formación Técnica,both
49553,5,VALPO,5701,SAN FELIPE,2,0,5,1,21857633,1,17,5,"6,8",85,I70S1C455J1V1,1,2021,Universidades Estatales CRUCH,both
20669,9,ARAUC,9211,VICTORIA,2,0,5,3,16922190,1,17,9,"6,9",95,I75S2C11J1V2,1,2021,Universidades Estatales CRUCH,both
18402,8,BBIO,8103,CHIGUAYANTE,2,0,5,3,24532565,1,18,8,7,100,I87S1C49J1V2,1,2021,Universidades Privadas CRUCH,both
7447,5,VALPO,5101,VALPARAÍSO,1,0,5,3,11145411,1,18,5,"6,2",100,I72S1C235J1V1,1,2021,Universidades Estatales CRUCH,both
67719,10,LAGOS,10101,PUERTO MONTT,2,0,7,1,13428193,1,17,10,"5,4",100,I430S23C326J1V1,1,2021,Centros de Formación Técnica,both
28753,13,RM,13101,SANTIAGO,2,0,5,3,16745045,2,17,13,7,97,I31S4C12J1V1,2,2021,Universidades Privadas,both
7000,5,VALPO,5506,NOGALES,2,0,7,3,15980436,2,17,5,"6,5",93,I143S6C92J1V1,2,2021,Institutos Profesionales,both
61720,13,RM,13122,PEÑALOLÉN,3,0,5,3,17210598,1,18,13,7,100,I71S1C16J1V2,1,2021,Universidades Estatales CRUCH,both
1964,2,ANTOF,2101,ANTOFAGASTA,1,0,7,3,13140376,2,17,2,7,85,I456S2C49J1V1,2,2021,Centros de Formación Técnica,both
45253,1,TPCA,1101,IQUIQUE,2,0,7,3,24430650,1,17,1,"6,4",100,I116S2C9J2V1,1,2021,Institutos Profesionales,both
64600,13,RM,13125,QUILICURA,2,0,5,3,13398917,2,17,13,6,100,I111S7C471J1V1,2,2021,Institutos Profesionales,both
24677,10,LAGOS,10101,PUERTO MONTT,2,0,7,3,20652236,1,18,10,"5,3",85,I116S8C9J1V1,1,2021,Institutos Profesionales,both
7213,5,VALPO,5101,VALPARAÍSO,1,0,7,3,16858622,2,17,5,"6,8",100,I111S2C104J1V2,2,2021,Institutos Profesionales,both
34210,13,RM,13120,ÑUÑOA,3,0,5,3,18724274,2,17,13,"6,4",99,I2S1C26J1V1,2,2021,Universidades Privadas,both
45240,1,TPCA,1101,IQUIQUE,2,0,5,3,21631166,2,17,1,7,100,I13S3C34J1V1,2,2021,Universidades Privadas,both
6111,5,VALPO,5701,SAN FELIPE,1,0,5,3,15909389,2,17,5,"6,2",95,I70S1C157J1V1,2,2021,Universidades Estatales CRUCH,both
41906,15,AYP,15101,ARICA,2,0,5,1,19673999,2,17,15,"6,9",96,I80S1C128J1V1,2,2021,Universidades Estatales CRUCH,both
60930,13,RM,13119,MAIPÚ,2,0,5,3,18577802,2,18,7,"6,7",100,I71S1C23J1V1,2,2021,Universidades Estatales CRUCH,both
51054,7,MAULE,7101,TALCA,2,0,7,1,11276225,2,20,7,"6,6",98,I260S25C47J1V1,2,2021,Centros de Formación Técnica,both
16449,8,BBIO,8301,LOS ÁNGELES,2,0,5,3,16212668,2,17,8,"6,6",100,I116S15C207J1V1,2,2021,Institutos Profesionales,both
30104,13,RM,13132,VITACURA,3,0,5,3,10797447,2,17,13,"6,4",100,I34S1C277J1V2,2,2021,Universidades Privadas CRUCH,both
42968,9,ARAUC,9111,NUEVA IMPERIAL,2,0,7,3,19792569,2,17,9,"6,4",100,I430S28C171J1V1,2,2021,Centros de Formación Técnica,both
30901,13,RM,13114,LAS CONDES,3,0,5,3,9888411,1,17,13,"6,3",90,I45S4C773J1V1,1,2021,Universidades Privadas,both
57112,12,MAG,12101,PUNTA ARENAS,2,0,5,1,14783192,1,17,12,"6,6",95,I87S1C11J1V1,1,2021,Universidades Privadas CRUCH,both
56508,10,LAGOS,10101,PUERTO MONTT,2,0,5,3,20954870,1,17,10,"6,7",100,I20S4C22J1V1,1,2021,Universidades Privadas,both
4055,4,COQ,4101,LA SERENA,2,0,5,3,24301068,1,18,4,"6,6",100,I70S1C83J1V1,1,2021,Universidades Estatales CRUCH,both
52665,8,BBIO,8205,CURANILAHUE,2,0,5,3,14313073,1,17,8,7,100,I87S1C54J1V1,1,2021,Universidades Privadas CRUCH,both
37849,13,RM,13102,CERRILLOS,2,0,5,1,17610707,1,17,13,"5,4",80,I39S6C2J1V1,1,2021,Universidades Privadas,both
19911,8,BBIO,8205,CURANILAHUE,1,0,5,3,17589858,2,17,8,"6,8",100,I113S5C449J1V1,2,2021,Institutos Profesionales,both
49772,5,VALPO,5802,LIMACHE,2,0,7,3,12678136,2,17,16,"6,8",100,I19S6C21J1V1,2,2021,Universidades Privadas,both
11049,6,LGBO,6101,RANCAGUA,3,0,5,1,22298184,1,18,6,"6,1",100,I45S4C773J1V1,1,2021,Universidades Privadas,both
32974,13,RM,13118,MACUL,2,0,5,3,14965302,2,17,13,6,95,I84S18C396J2V1,2,2021,Universidades Estatales CRUCH,both
38050,13,RM,13126,QUINTA NORMAL,2,0,5,3,10084940,1,17,13,"5,6",85,I69S1C30J1V1,1,2021,Universidades Privadas CRUCH,both
13658,7,MAULE,7102,CONSTITUCIÓN,4,0,7,3,17935319,1,17,7,"6,9",98,I430S26C45J1V1,1,2021,Centros de Formación Técnica,both
15881,16,NUBLE,16205,PORTEZUELO,2,0,5,3,13221886,1,17,16,"6,8",100,I87S2C11J1V1,1,2021,Universidades Privadas CRUCH,both
40613,13,RM,13402,BUIN,1,1,7,3,16279316,1,18,13,"6,4",89,I70S1C157J1V1,1,2021,Universidades Estatales CRUCH,both
5756,5,VALPO,5301,LOS ANDES,4,0,7,1,24997690,1,17,13,"6,7",100,I71S1C572J1V1,1,2021,Universidades Estatales CRUCH,both
24393,10,LAGOS,10303,PURRANQUE,2,0,5,3,16603442,2,17,10,"6,9",100,I76S1C22J1V1,2,2021,Universidades Estatales CRUCH,both
19281,8,BBIO,8106,LOTA,1,0,7,3,19840576,2,18,8,6,90,I139S3C34J1V1,2,2021,Institutos Profesionales,both
10291,6,LGBO,6101,RANCAGUA,1,0,7,3,14163806,2,17,6,"6,9",100,I89S1C53J1V1,2,2021,Universidades Privadas CRUCH,both
19196,8,BBIO,8105,HUALQUI,5,0,7,3,16425782,2,17,8,7,100,I93S1C16J1V2,2,2021,Universidades Privadas CRUCH,both
52042,7,MAULE,7101,TALCA,2,0,5,3,12435405,2,17,7,6,90,I31S2C12J1V1,2,2021,Universidades Privadas,both
50934,7,MAULE,7301,CURICÓ,2,0,5,3,9772263,1,17,7,7,100,I260S8C108J1V1,1,2021,Centros de Formación Técnica,both
56154,14,RIOS,14108,PANGUIPULLI,1,0,5,3,15401377,1,17,14,"6,9",100,I90S1C33J1V2,1,2021,Universidades Privadas CRUCH,both
37360,13,RM,13119,MAIPÚ,2,0,7,3,24885710,2,17,13,"6,7",85,I111S15C485J1V1,2,2021,Institutos Profesionales,both
31396,13,RM,13123,PROVIDENCIA,1,0,5,1,22751362,1,17,13,"6,9",100,I78S5C4J1V1,1,2021,Universidades Estatales CRUCH,both
20902,9,ARAUC,9101,TEMUCO,1,0,5,3,10366173,2,17,9,"5,1",95,I260S11C280J1V1,2,2021,Centros de Formación Técnica,both
37630,13,RM,13102,CERRILLOS,2,0,7,3,11592257,1,18,13,"5,4",100,I430S12C326J2V1,1,2021,Centros de Formación Técnica,both
9437,5,VALPO,5801,QUILPUÉ,2,0,5,3,12002804,2,17,5,7,83,I89S1C53J1V1,2,2021,Universidades Privadas CRUCH,both
37586,13,RM,13102,CERRILLOS,2,0,5,3,16976857,1,17,13,"5,4",100,I111S7C484J1V1,1,2021,Institutos Profesionales,both
6075,5,VALPO,5701,SAN FELIPE,4,0,7,3,13374437,1,17,5,"6,1",100,I111S2C104J1V2,1,2021,Institutos Profesionales,both
24077,10,LAGOS,10301,OSORNO,1,0,5,3,11282859,2,17,10,6,100,I87S1C229J1V1,2,2021,Universidades Privadas CRUCH,both
4562,4,COQ,4102,COQUIMBO,5,1,7,3,14378052,1,17,4,"4,4",85,I430S27C61J1V1,1,2021,Centros de Formación Técnica,both
66624,13,RM,13402,BUIN,3,0,5,3,14242566,1,18,13,"5,7",100,I50S1C2J1V1,1,2021,Universidades Privadas,both
32147,13,RM,13114,LAS CONDES,3,0,5,3,9607642,1,17,13,"6,8",100,I70S1C158J1V1,1,2021,Universidades Estatales CRUCH,both
53072,16,NUBLE,16301,SAN CARLOS,2,0,5,3,14451733,2,17,16,"6,9",100,I75S2C5J1V3,2,2021,Universidades Estatales CRUCH,both
28390,13,RM,13127,RECOLETA,2,0,5,3,17587906,1,18,13,"6,4",100,I71S1C444J1V1,1,2021,Universidades Estatales CRUCH,both
1987,2,ANTOF,2101,ANTOFAGASTA,1,0,7,3,21953309,1,17,2,7,85,I143S2C34J2V1,1,2021,Institutos Profesionales,both
9890,5,VALPO,5601,SAN ANTONIO,2,0,7,3,18395040,1,17,5,"5,8",85,I88S2C94J1V3,1,2021,Universidades Privadas CRUCH,both
48170,4,COQ,4204,SALAMANCA,2,0,5,3,18644089,1,17,4,6,100,I456S5C10J1V1,1,2021,Centros de Formación Técnica,both
53613,8,BBIO,8301,LOS ÁNGELES,2,0,5,3,23829305,2,17,8,"6,6",90,I39S2C28J1V1,2,2021,Universidades Privadas,both
36291,13,RM,13109,LA CISTERNA,2,0,5,3,10582133,2,17,13,"6,7",96,I71S1C31J1V1,2,2021,Universidades Estatales CRUCH,both
10666,6,LGBO,6101,RANCAGUA,1,0,5,1,15449841,2,18,6,"6,9",100,I78S1C338J1V1,2,2021,Universidades Estatales CRUCH,both
19284,8,BBIO,8106,LOTA,1,0,7,3,22260398,2,18,8,"5,5",90,I450S1C49J1V1,2,2021,Centros de Formación Técnica,both
38321,13,RM,13103,CERRO NAVIA,2,0,7,3,25602330,1,17,13,"5,8",100,I111S5C484J1V1,1,2021,Institutos Profesionales,both
35946,13,RM,13131,SAN RAMÓN,2,0,5,3,14768131,1,17,13,"6,5",98,I20S1C69J1V1,1,2021,Universidades Privadas,both
60246,13,RM,13124,PUDAHUEL,2,0,7,3,17249173,2,17,13,"6,1",85,I116S31C144J2V1,2,2021,Institutos Profesionales,both
55054,9,ARAUC,9101,TEMUCO,1,0,5,3,12101233,1,17,9,"6,6",95,I76S1C8J1V1,1,2021,Universidades Estatales CRUCH,both
49213,5,VALPO,5109,VIÑA DEL MAR,2,0,5,3,24794084,1,17,5,"4,8",85,I83S1C251J1V1,1,2021,Universidades Estatales CRUCH,both
49411,5,VALPO,5801,QUILPUÉ,2,0,5,3,23161178,1,17,5,"5,5",100,I88S2C348J1V2,1,2021,Universidades Privadas CRUCH,both
39168,13,RM,13301,COLINA,2,0,5,3,10045021,1,17,13,"6,3",100,I111S21C413J1V1,1,2021,Institutos Profesionales,both
55361,10,LAGOS,10301,OSORNO,2,0,5,3,14633862,2,17,10,"6,5",85,I39S8C17J1V1,2,2021,Universidades Privadas,both
34865,13,RM,13110,LA FLORIDA,2,0,7,3,14096744,2,18,13,"6,1",93,I143S23C609J1V1,2,2021,Institutos Profesionales,both
3260,3,ATCMA,3101,COPIAPÓ,1,0,5,3,21207653,1,17,3,"5,1",100,I100S16C304J2V1,1,2021,Institutos Profesionales,both
10701,6,LGBO,6101,RANCAGUA,1,0,5,1,23619199,2,17,6,"6,9",100,I86S5C57J1V1,2,2021,Universidades Privadas CRUCH,both
13280,7,MAULE,7101,TALCA,2,0,5,1,24694684,1,17,7,"5,2",100,I31S2C11J1V1,1,2021,Universidades Privadas,both
64987,13,RM,13102,CERRILLOS,2,0,5,3,11267618,2,17,13,"6,8",85,I50S1C3J1V1,2,2021,Universidades Privadas,both
24819,10,LAGOS,10101,PUERTO MONTT,2,0,7,3,10517718,2,20,5,"5,7",85,I260S37C280J1V1,2,2021,Centros de Formación Técnica,both
66247,13,RM,13119,MAIPÚ,1,0,5,3,15375316,2,17,13,"6,8",88,I20S2C347J1V1,2,2021,Universidades Privadas,both
17080,8,BBIO,8304,LAJA,1,0,5,3,13411916,1,17,8,"6,8",100,I139S1C3J1V1,1,2021,Institutos Profesionales,both
38020,13,RM,13126,QUINTA NORMAL,2,0,7,3,9633690,1,17,13,"5,7",100,I100S34C302J2V1,1,2021,Institutos Profesionales,both
25066,10,LAGOS,10109,PUERTO VARAS,2,0,5,3,16011125,2,17,13,"5,9",100,I90S2C97J1V1,2,2021,Universidades Privadas CRUCH,both
37219,13,RM,13102,CERRILLOS,2,0,5,3,21119656,2,17,13,"6,1",85,I895S1C2J1V1,2,2021,Universidades Estatales CRUCH,both
50597,6,LGBO,6305,NANCAGUA,2,0,5,1,13347611,2,17,6,"6,9",100,I20S1C5J1V1,2,2021,Universidades Privadas,both
37265,13,RM,13119,MAIPÚ,2,0,5,3,18735944,2,17,13,"6,8",85,I70S1C816J1V1,2,2021,Universidades Estatales CRUCH,both
20458,9,ARAUC,9202,COLLIPULLI,2,0,5,3,14477121,1,17,9,"6,3",90,I13S10C44J1V1,1,2021,Universidades Privadas,both
10633,6,LGBO,6101,RANCAGUA,1,0,5,1,20175744,1,17,6,"6,8",92,I895S1C3J1V1,1,2021,Universidades Estatales CRUCH,both
13959,7,MAULE,7401,LINARES,1,0,7,3,11378569,2,17,7,"6,8",100,I92S2C6J1V1,2,2021,Universidades Privadas CRUCH,both
22224,9,ARAUC,9110,MELIPEUCO,1,0,5,3,14625072,2,17,9,"6,7",100,I94S1C185J1V1,2,2021,Universidades Privadas CRUCH,both
6451,5,VALPO,5501,QUILLOTA,1,0,5,3,16333490,2,17,5,7,98,I88S1C1J1V2,2,2021,Universidades Privadas CRUCH,both
26636,13,RM,13101,SANTIAGO,1,0,5,1,18403022,2,17,13,"6,9",99,I111S21C484J1V1,2,2021,Institutos Profesionales,both
24569,10,LAGOS,10101,PUERTO MONTT,1,0,7,3,23524893,2,18,10,"5,6",90,I143S12C59J1V1,2,2021,Institutos Profesionales,both
63214,13,RM,13201,PUENTE ALTO,2,0,5,3,14029229,1,17,13,"5,7",40,I111S12C413J1V1,1,2021,Institutos Profesionales,both
