,cod_reg_rbd,nom_reg_rbd_a,cod_com_rbd,nom_com_rbd,cod_depe2,rural_rbd,cod_ense2,cod_jor,mrun,gen_alu_x,edad_alu,cod_reg_alu,prom_gral,asistencia,codigo_unico,gen_alu_y,anio_ing_carr_ori,tipo_inst_3,_merge
39248,13,RM,13302,LAMPA,1,0,7,3,26057707,2,17,13,"6,2",100,I218S1C11J1V2,2,2021,Centros de Formación Técnica,both
3934,4,COQ,4101,LA SERENA,1,0,5,3,14940750,2,17,4,"6,9",100,I91S2C104J1V1,2,2021,Universidades Privadas CRUCH,both
56870,11,AYSEN,11201,AYSÉN,2,0,5,3,22580172,2,18,11,"5,6",100,I90S4C487J1V1,2,2021,Universidades Privadas CRUCH,both
22984,9,ARAUC,9111,NUEVA IMPERIAL,2,0,5,3,21728014,1,17,9,"6,4",85,I76S1C275J1V1,1,2021,Universidades Estatales CRUCH,both
7650,5,VALPO,5101,VALPARAÍSO,2,0,5,3,10514003,2,17,5,"5,8",98,I83S1C46J1V1,2,2021,Universidades Estatales CRUCH,both
9137,5,VALPO,5105,PUCHUNCAVÍ,1,0,7,3,9455808,1,19,5,"6,2",97,I19S6C62J1V2,1,2021,Universidades Privadas,both
23399,14,RIOS,14106,MARIQUINA,2,0,5,3,23506168,2,17,14,"6,4",93,I31S1C42J1V1,2,2021,Universidades Privadas,both
8692,5,VALPO,5109,VIÑA DEL MAR,3,0,5,1,10576191,2,17,5,"6,6",94,I20S3C38J1V1,2,2021,Universidades Privadas,both
22539,9,ARAUC,9105,FREIRE,2,1,7,3,20587978,2,17,9,"6,5",100,I143S12C84J1V1,2,2021,Institutos Profesionales,both
43106,8,BBIO,8101,CONCEPCIÓN,2,0,7,3,9787213,2,17,8,"6,8",95,I13S16C6J1V1,2,2021,Universidades Privadas,both
23066,14,RIOS,14101,VALDIVIA,1,0,7,3,10906777,2,17,14,"6,7",85,I90S2C624J1V1,2,2021,Universidades Privadas CRUCH,both
60310,13,RM,13111,LA GRANJA,2,0,7,3,16152467,1,17,13,7,100,I111S16C48J2V1,1,2021,Institutos Profesionales,both
15896,16,NUBLE,16203,COELEMU,1,0,5,3,22766612,1,17,16,"6,7",100,I260S45C119J1V1,1,2021,Centros de Formación Técnica,both
47022,4,COQ,4101,LA SERENA,2,0,5,1,11186750,2,17,4,7,98,I83S1C303J1V1,2,2021,Universidades Estatales CRUCH,both
15441,16,NUBLE,16301,SAN CARLOS,2,0,7,3,18529498,1,20,1,"5,8",85,I902S1C14J2V1,1,2021,Centros de Formación Técnica Estatales,both
26929,13,RM,13101,SANTIAGO,1,0,5,1,21495869,1,18,13,"5,9",90,I10S7C32J1V1,1,2021,Universidades Privadas,both
20363,9,ARAUC,9201,ANGOL,2,0,5,3,14008832,1,17,9,"6,9",90,I87S1C51J1V2,1,2021,Universidades Privadas CRUCH,both
62337,13,RM,13402,BUIN,1,0,7,3,20413004,1,17,13,"5,1",100,I111S20C58J1V1,1,2021,Institutos Profesionales,both
2404,2,ANTOF,2101,ANTOFAGASTA,2,0,5,1,19115643,2,17,2,"6,6",100,I91S1C123J1V1,2,2021,Universidades Privadas CRUCH,both
41727,13,RM,13501,MELIPILLA,2,0,7,3,22515792,2,17,13,"6,9",100,I10S7C32J1V1,2,2021,Universidades Privadas,both
28377,13,RM,13106,ESTACIÓN CENTRAL,2,0,5,3,15545140,1,17,13,"5,4",85,I19S1C14J1V1,1,2021,Universidades Privadas,both
52367,8,BBIO,8301,LOS ÁNGELES,2,0,5,3,9322056,1,18,13,"5,7",100,I260S34C108J1V1,1,2021,Centros de Formación Técnica,both
17911,8,BBIO,8101,CONCEPCIÓN,2,0,5,3,22589741,1,17,8,7,89,I75S1C177J1V1,1,2021,Universidades Estatales CRUCH,both
12800,7,MAULE,7101,TALCA,1,0,7,3,22601630,2,17,7,"6,6",98,I92S1C182J1V1,2,2021,Universidades Privadas CRUCH,both
56781,11,AYSEN,11101,COYHAIQUE,2,0,5,3,15750179,1,17,11,0,0,I4S1C10J1V1,1,2021,Universidades Privadas,both
54695,9,ARAUC,9114,PITRUFQUÉN,2,0,5,3,15182151,2,17,9,7,100,I10S4C32J1V1,2,2021,Universidades Privadas,both
53260,8,BBIO,8102,CORONEL,2,0,7,3,16465674,2,17,8,"6,8",95,I87S1C4J1V1,2,2021,Universidades Privadas CRUCH,both
59424,13,RM,13114,LAS CONDES,3,0,5,3,16279825,2,17,13,7,100,I86S5C208J1V1,2,2021,Universidades Privadas CRUCH,both
3899,4,COQ,4101,LA SERENA,1,0,5,3,22684128,2,18,4,"6,4",90,I4S7C6J1V1,2,2021,Universidades Privadas,both
27089,13,RM,13101,SANTIAGO,1,0,5,3,18825113,1,17,13,"6,9",99,I50S1C284J1V1,1,2021,Universidades Privadas,both
33967,13,RM,13122,PEÑALOLÉN,3,0,5,3,19733037,1,18,7,"5,4",100,I10S7C16J1V1,1,2021,Universidades Privadas,both
48234,5,VALPO,5502,CALERA,2,0,5,3,10843469,1,18,5,"5,8",90,I111S2C104J1V2,1,2021,Institutos Profesionales,both
60598,13,RM,13301,COLINA,3,0,5,3,25467937,1,18,13,"6,7",100,I20S2C7J1V2,1,2021,Universidades Privadas,both
